region,year,population,total,crime_rate
강남구,2014,237375.0,8851,3728.7
강동구,2014,185905.0,5392,2900.41
강북구,2014,141246.0,4030,2853.18
강서구,2014,234378.0,5289,2256.61
관악구,2014,248180.0,6781,2732.29
광진구,2014,158524.0,6268,3953.98
구로구,2014,172594.0,5389,3122.36
금천구,2014,103940.0,3842,3696.36
노원구,2014,221107.0,5312,2402.46
도봉구,2014,136977.0,3124,2280.67
동대문구,2014,159880.0,4363,2728.92
동작구,2014,172389.0,3869,2244.34
마포구,2014,169492.0,5740,3386.59
서대문구,2014,134780.0,4194,3111.74
서초구,2014,173469.0,5558,3204.03
성동구,2014,125814.0,3582,2847.06
성북구,2014,193359.0,4606,2382.1
송파구,2014,257207.0,8004,3111.89
양천구,2014,179069.0,4642,2592.3
영등포구,2014,168100.0,7003,4165.97
용산구,2014,108429.0,3799,3503.68
은평구,2014,202187.0,5431,2686.13
중구,2014,59960.0,5231,8724.15
중랑구,2014,176714.0,5353,3029.19
강남구,2015,237373.0,8617,3630.15
강동구,2015,180508.0,5244,2905.13
강북구,2015,141088.0,4257,3017.27
강서구,2015,238952.0,5585,2337.29
관악구,2015,249191.0,6345,2546.24
광진구,2015,158353.0,5909,3731.54
구로구,2015,172321.0,5646,3276.44
금천구,2015,103847.0,3781,3640.93
노원구,2015,219768.0,5130,2334.28
도봉구,2015,136903.0,2664,1945.9
동대문구,2015,159941.0,4720,2951.09
동작구,2015,170495.0,4074,2389.51
마포구,2015,171480.0,5854,3413.81
서대문구,2015,135770.0,4029,2967.52
서초구,2015,173007.0,5444,3146.69
성동구,2015,126714.0,3358,2650.06
성북구,2015,190973.0,4154,2175.18
송파구,2015,256611.0,6778,2641.35
양천구,2015,179512.0,4528,2522.39
영등포구,2015,167863.0,6867,4090.84
용산구,2015,107512.0,3820,3553.09
은평구,2015,203410.0,4745,2332.73
중구,2015,59321.0,4954,8351.17
중랑구,2015,176390.0,5193,2944.04
강남구,2016,234080.0,8149,3481.29
강동구,2016,177460.0,4462,2514.37
강북구,2016,141229.0,4229,2994.43
강서구,2016,245045.0,5450,2224.08
관악구,2016,251955.0,5678,2253.58
광진구,2016,158390.0,5322,3360.06
구로구,2016,172220.0,5366,3115.78
금천구,2016,104483.0,3645,3488.61
노원구,2016,219736.0,4543,2067.48
도봉구,2016,136898.0,2438,1780.89
동대문구,2016,159426.0,4787,3002.65
동작구,2016,172506.0,3227,1870.66
마포구,2016,169432.0,5873,3466.29
서대문구,2016,136766.0,3665,2679.76
서초구,2016,173970.0,4989,2867.74
성동구,2016,128727.0,3026,2350.71
성북구,2016,188304.0,3744,1988.27
송파구,2016,258382.0,6090,2356.98
양천구,2016,177434.0,4112,2317.48
영등포구,2016,165729.0,6322,3814.66
용산구,2016,106607.0,4137,3880.61
은평구,2016,201891.0,4501,2229.42
중구,2016,59651.0,4584,7684.7
중랑구,2016,177400.0,5041,2841.6
강남구,2017,231612.0,7720,3333.16
강동구,2017,177407.0,4261,2401.82
강북구,2017,142533.0,3393,2380.5
강서구,2017,254257.0,5135,2019.61
관악구,2017,255352.0,5525,2163.68
광진구,2017,160798.0,4646,2889.34
구로구,2017,171570.0,4895,2853.06
금천구,2017,106066.0,3265,3078.27
노원구,2017,217619.0,4209,1934.11
도봉구,2017,137378.0,1999,1455.11
동대문구,2017,159938.0,3975,2485.34
동작구,2017,172995.0,3330,1924.91
마포구,2017,169408.0,5278,3115.56
서대문구,2017,137266.0,3113,2267.86
서초구,2017,173594.0,4708,2712.08
성동구,2017,132902.0,2767,2081.99
성북구,2017,187112.0,3434,1835.26
송파구,2017,264628.0,5576,2107.11
양천구,2017,176649.0,3882,2197.58
영등포구,2017,167355.0,5969,3566.67
용산구,2017,107666.0,4060,3770.92
은평구,2017,202839.0,3883,1914.33
중구,2017,60412.0,4184,6925.78
중랑구,2017,179132.0,4571,2551.75
강남구,2018,228775.0,7513,3284.01
강동구,2018,177247.0,3919,2211.04
강북구,2018,143395.0,3437,2396.88
강서구,2018,258503.0,4629,1790.69
관악구,2018,262222.0,5026,1916.7
광진구,2018,162606.0,3915,2407.66
구로구,2018,172457.0,4810,2789.1
금천구,2018,107971.0,3293,3049.89
노원구,2018,217655.0,4007,1840.99
도봉구,2018,138087.0,2249,1628.68
동대문구,2018,161820.0,3680,2274.13
동작구,2018,177176.0,3100,1749.67
마포구,2018,172505.0,5172,2998.17
서대문구,2018,138549.0,2802,2022.39
서초구,2018,172918.0,4726,2733.09
성동구,2018,137209.0,2457,1790.7
성북구,2018,186601.0,3042,1630.22
송파구,2018,270866.0,5807,2143.86
양천구,2018,176498.0,3515,1991.52
영등포구,2018,171085.0,5840,3413.51
용산구,2018,108974.0,3411,3130.1
은평구,2018,205001.0,3590,1751.21
중구,2018,61502.0,4030,6552.63
중랑구,2018,180511.0,4288,2375.48
강남구,2019,232981.0,7304,3135.02
강동구,2019,183390.0,4014,2188.78
강북구,2019,144277.0,3838,2660.16
강서구,2019,262708.0,4924,1874.32
관악구,2019,268559.0,5328,1983.92
광진구,2019,164428.0,4011,2439.37
구로구,2019,176568.0,4707,2665.83
금천구,2019,110622.0,3105,2806.86
노원구,2019,216966.0,4153,1914.12
도봉구,2019,138508.0,2110,1523.38
동대문구,2019,164191.0,3692,2248.6
동작구,2019,180753.0,3400,1881.02
마포구,2019,175023.0,4842,2766.49
서대문구,2019,140157.0,2943,2099.79
서초구,2019,173199.0,5542,3199.79
성동구,2019,135838.0,2512,1849.26
성북구,2019,192592.0,2877,1493.83
송파구,2019,278711.0,5698,2044.41
양천구,2019,177256.0,3214,1813.2
영등포구,2019,174806.0,5820,3329.41
용산구,2019,110126.0,3313,3008.37
은평구,2019,207681.0,3880,1868.25
중구,2019,62739.0,4327,6896.83
중랑구,2019,181579.0,4268,2350.49
강남구,2020,234872.0,7356,3131.92
강동구,2020,196499.0,3788,1927.75
강북구,2020,145896.0,2770,1898.61
강서구,2020,266982.0,4415,1653.67
관악구,2020,274811.0,5261,1914.41
광진구,2020,167427.0,3601,2150.79
구로구,2020,180531.0,4175,2312.62
금천구,2020,114715.0,2598,2264.74
노원구,2020,218270.0,3743,1714.85
도봉구,2020,139114.0,2179,1566.34
동대문구,2020,167598.0,3401,2029.26
동작구,2020,184229.0,3200,1736.97
마포구,2020,178482.0,3688,2066.31
서대문구,2020,144838.0,2533,1748.85
서초구,2020,173502.0,4601,2651.84
성동구,2020,135870.0,2362,1738.43
성북구,2020,195396.0,2567,1313.74
송파구,2020,281959.0,5410,1918.72
양천구,2020,180633.0,3216,1780.41
영등포구,2020,184714.0,5217,2824.37
용산구,2020,113093.0,2969,2625.27
은평구,2020,213914.0,3390,1584.75
중구,2020,63686.0,3411,5355.97
중랑구,2020,185920.0,3726,2004.09
강남구,2021,234233.0,6146,2623.88
강동구,2021,201613.0,3458,1715.17
강북구,2021,144536.0,2301,1591.99
강서구,2021,271175.0,3896,1436.71
관악구,2021,276597.0,4444,1606.67
광진구,2021,167949.0,3087,1838.06
구로구,2021,180929.0,3486,1926.72
금천구,2021,117595.0,2439,2074.07
노원구,2021,217378.0,3425,1575.6
도봉구,2021,138656.0,1860,1341.45
동대문구,2021,168219.0,2959,1759.02
동작구,2021,184812.0,2631,1423.61
마포구,2021,179861.0,3540,1968.19
서대문구,2021,143647.0,2278,1585.83
서초구,2021,170244.0,3656,2147.51
성동구,2021,134233.0,2112,1573.38
성북구,2021,195017.0,2411,1236.3
송파구,2021,282417.0,4714,1669.16
양천구,2021,181404.0,3015,1662.04
영등포구,2021,187020.0,4179,2234.52
용산구,2021,111036.0,2381,2144.35
은평구,2021,214711.0,3244,1510.87
중구,2021,63519.0,2861,4504.16
중랑구,2021,185712.0,3210,1728.48
강남구,2022,232777.0,6947,2984.4
강동구,2022,202169.0,3711,1835.59
강북구,2022,144313.0,2832,1962.4
강서구,2022,273697.0,4663,1703.71
관악구,2022,283623.0,4879,1720.24
광진구,2022,169291.0,3619,2137.74
구로구,2022,183655.0,3857,2100.13
금천구,2022,119583.0,2577,2154.99
노원구,2022,217540.0,3896,1790.94
도봉구,2022,138356.0,2141,1547.46
동대문구,2022,169873.0,3253,1914.96
동작구,2022,185773.0,2735,1472.23
마포구,2022,180084.0,4096,2274.49
서대문구,2022,145797.0,2374,1628.29
서초구,2022,167749.0,4459,2658.14
성동구,2022,133305.0,2194,1645.85
성북구,2022,197082.0,2749,1394.85
송파구,2022,284853.0,5167,1813.92
양천구,2022,181187.0,3169,1749.02
영등포구,2022,188832.0,4819,2552.0
용산구,2022,109805.0,2967,2702.06
은평구,2022,213876.0,3487,1630.38
중구,2022,63139.0,3071,4863.87
중랑구,2022,187413.0,3599,1920.36
강남구,2023,239775.0,6763,2820.56
강동구,2023,203734.0,3398,1667.86
강북구,2023,143560.0,2497,1739.34
강서구,2023,274084.0,4296,1567.4
관악구,2023,284578.0,4769,1675.81
광진구,2023,170077.0,3424,2013.21
구로구,2023,184096.0,3737,2029.92
금천구,2023,120381.0,2240,1860.76
노원구,2023,217904.0,3567,1636.96
도봉구,2023,138261.0,1921,1389.4
동대문구,2023,172801.0,2957,1711.22
동작구,2023,186675.0,2642,1415.29
마포구,2023,181090.0,3834,2117.18
서대문구,2023,146845.0,2385,1624.16
서초구,2023,169884.0,4522,2661.82
성동구,2023,133089.0,2023,1520.04
성북구,2023,196800.0,2411,1225.1
송파구,2023,285927.0,5223,1826.69
양천구,2023,180695.0,3019,1670.77
영등포구,2023,190737.0,4418,2316.28
용산구,2023,107825.0,3021,2801.76
은평구,2023,215721.0,3493,1619.22
중구,2023,64714.0,3348,5173.53
중랑구,2023,188097.0,3324,1767.17
강남구,2024,245094.0,6107,2491.7
강동구,2024,212585.0,3350,1575.84
강북구,2024,143063.0,2289,1599.99
강서구,2024,273911.0,4008,1463.25
관악구,2024,285963.0,4485,1568.38
광진구,2024,169931.0,2870,1688.92
구로구,2024,183891.0,3378,1836.96
금천구,2024,121075.0,2017,1665.91
노원구,2024,217743.0,3101,1424.16
도봉구,2024,138759.0,1741,1254.69
동대문구,2024,172840.0,3216,1860.68
동작구,2024,186950.0,2454,1312.65
마포구,2024,181135.0,3891,2148.12
서대문구,2024,146221.0,2054,1404.72
서초구,2024,170681.0,3788,2219.34
성동구,2024,131953.0,2117,1604.36
성북구,2024,196485.0,2184,1111.54
송파구,2024,287017.0,5174,1802.68
양천구,2024,180209.0,3000,1664.73
영등포구,2024,192199.0,4167,2168.07
용산구,2024,103241.0,3322,3217.71
은평구,2024,215305.0,3217,1494.16
중구,2024,64995.0,2955,4546.5
중랑구,2024,188651.0,3169,1679.82
